dong_name,full_name,elevation,population,lat,lon,neighbor_avg,elevation_diff,lowness_score
태전1동,대구광역시 북구 태전1동,25.0,22265,35.92593455011735,128.54000761906963,29.0,-4.0,0.13793103448275862
구암동,대구광역시 북구 구암동,30.0,34320,35.93234044170751,128.56744736749857,33.0,-3.0,0.10344827586206896
노원동,대구광역시 북구 노원동,20.0,11460,35.894669366073295,128.56946990711356,28.0,-8.0,0.27586206896551724
동천동,대구광역시 북구 동천동,35.0,27366,35.93936764841642,128.55920011358117,30.0,5.0,0.0
국우동,대구광역시 북구 국우동,45.0,30542,35.96007224873257,128.58136013272392,31.0,14.0,0.0
대현동,대구광역시 북구 대현동,35.0,17602,35.883037653184594,128.6073423505897,34.0,1.0,0.0
범어1동,대구광역시 수성구 범어1동,50.0,16285,35.85381387617616,128.6270406425155,51.0,-1.0,0.034482758620689655
범어2동,대구광역시 수성구 범어2동,55.0,15139,35.86294787004691,128.63334944465515,47.0,8.0,0.0
범어3동,대구광역시 수성구 범어3동,40.0,17100,35.86424239763582,128.62292679372376,46.0,-6.0,0.20689655172413793
범어4동,대구광역시 수성구 범어4동,55.0,19882,35.85384014255526,128.63840149595595,55.0,0.0,0.0
만촌1동,대구광역시 수성구 만촌1동,30.0,22238,35.8712472987174,128.64919349461903,39.0,-9.0,0.3103448275862069
만촌2동,대구광역시 수성구 만촌2동,40.0,10843,35.86162346182695,128.65058984185993,48.0,-8.0,0.27586206896551724
만촌3동,대구광역시 수성구 만촌3동,60.0,19327,35.85062277339387,128.65053217884167,50.0,10.0,0.0
수성1가동,대구광역시 수성구 수성1가동,45.0,17416,35.85492446250385,128.61083022104575,47.0,-2.0,0.06896551724137931
수성2·3가동,대구광역시 수성구 수성2·3가동,50.0,11421,35.85534720048561,128.61736966106264,46.0,4.0,0.0
수성4가동,대구광역시 수성구 수성4가동,40.0,13985,35.86285288785915,128.61612220799935,42.0,-2.0,0.06896551724137931
황금1동,대구광역시 수성구 황금1동,70.0,23047,35.84093005249136,128.63804307399263,57.0,13.0,0.0
황금2동,대구광역시 수성구 황금2동,55.0,12156,35.84515883025561,128.62251829616244,51.0,4.0,0.0
중동,대구광역시 수성구 중동,50.0,12646,35.844903401467214,128.612037641333,52.0,-2.0,0.06896551724137931
상동,대구광역시 수성구 상동,60.0,15896,35.83326946694144,128.61171950754226,56.0,4.0,0.0
파동,대구광역시 수성구 파동,70.0,12117,35.81337386272217,128.61293984580027,64.0,6.0,0.0
두산동,대구광역시 수성구 두산동,65.0,14825,35.829039244376204,128.62086407184373,66.0,-1.0,0.034482758620689655
지산1동,대구광역시 수성구 지산1동,65.0,21243,35.83013750507484,128.63803590640535,75.0,-10.0,0.3448275862068966
지산2동,대구광역시 수성구 지산2동,80.0,18006,35.81844634870085,128.6318732384657,75.0,5.0,0.0
범물1동,대구광역시 수성구 범물1동,105.0,11009,35.810281735220634,128.66044447840196,70.0,35.0,0.0
범물2동,대구광역시 수성구 범물2동,105.0,16705,35.810379435122734,128.6437626939774,77.0,28.0,0.0
고산1동,대구광역시 수성구 고산1동,55.0,31427,35.811580121928856,128.69931641902755,62.0,-7.0,0.2413793103448276
고산2동,대구광역시 수성구 고산2동,30.0,28089,35.83859292535369,128.67723015312927,59.0,-29.0,1.0
고산3동,대구광역시 수성구 고산3동,35.0,32409,35.84918034705593,128.71398690660212,38.0,-3.0,0.10344827586206896
두류3동,대구광역시 달서구 두류3동,30.0,7951,35.851625251919536,128.55496812360062,28.0,2.0,0.0
본리동,대구광역시 달서구 본리동,20.0,20162,35.83994522806087,128.53835783452917,28.0,-8.0,0.27586206896551724
감삼동,대구광역시 달서구 감삼동,25.0,28405,35.847994240176305,128.5398216197006,25.0,0.0,0.0
죽전동,대구광역시 달서구 죽전동,30.0,13125,35.85458294448254,128.53863751858157,25.0,5.0,0.0
장기동,대구광역시 달서구 장기동,15.0,17082,35.84277143844623,128.51969147743708,24.0,-9.0,0.3103448275862069
이곡1동,대구광역시 달서구 이곡1동,30.0,22806,35.85692140941787,128.51134569953905,20.0,10.0,0.0
신당동,대구광역시 달서구 신당동,15.0,35497,35.84862559971672,128.48529482678805,37.0,-22.0,0.7586206896551724
월성1동,대구광역시 달서구 월성1동,25.0,40350,35.82394105738655,128.52548738511032,30.0,-5.0,0.1724137931034483
월성2동,대구광역시 달서구 월성2동,15.0,16109,35.82733818506761,128.502935291009,22.0,-7.0,0.2413793103448276
진천동,대구광역시 달서구 진천동,20.0,51859,35.80372762601668,128.52498348255142,45.0,-25.0,0.8620689655172413
상인1동,대구광역시 달서구 상인1동,40.0,34969,35.81958935470126,128.54104790196664,39.0,1.0,0.0
상인2동,대구광역시 달서구 상인2동,45.0,19092,35.813012128023104,128.53849465276315,31.0,14.0,0.0
상인3동,대구광역시 달서구 상인3동,70.0,10847,35.81256535221641,128.56313977785916,47.0,23.0,0.0
도원동,대구광역시 달서구 도원동,40.0,34398,35.79543475778642,128.55813357506187,46.0,-6.0,0.20689655172413793
송현1동,대구광역시 달서구 송현1동,55.0,19063,35.823926122765,128.55823899855994,50.0,5.0,0.0
송현2동,대구광역시 달서구 송현2동,40.0,17996,35.83094068923218,128.54815121550905,39.0,1.0,0.0
본동,대구광역시 달서구 본동,30.0,12242,35.83382418235755,128.53970117566416,30.0,0.0,0.0
용산1동,대구광역시 달서구 용산1동,15.0,30164,35.85562767354193,128.52846313260315,26.0,-11.0,0.3793103448275862
용산2동,대구광역시 달서구 용산2동,30.0,27919,35.859996831310994,128.51991409483182,23.0,7.0,0.0
이곡2동,대구광역시 달서구 이곡2동,25.0,16360,35.85060367435655,128.50363569331475,21.0,4.0,0.0
성당동,대구광역시 달서구 성당동,30.0,22784,35.844641384721946,128.55659935935267,42.0,-12.0,0.41379310344827586
"두류1,2동","대구광역시 달서구 두류1,2동",25.0,14542,35.85657853089345,128.56740737623153,41.0,-16.0,0.5517241379310345
화원읍,대구광역시 달성군 화원읍,100.0,0,35.78646962340582,128.51147497513205,41.0,59.0,0.0
논공읍,대구광역시 달성군 논공읍,100.0,0,35.751762824596405,128.43455366538333,100.0,0.0,0.0
다사읍,대구광역시 달성군 다사읍,100.0,0,35.87199723767959,128.46601684592233,40.0,60.0,0.0
가창면,대구광역시 달성군 가창면,100.0,0,35.758352294481966,128.619879329944,83.0,17.0,0.0
하빈면,대구광역시 달성군 하빈면,100.0,0,35.89801680749778,128.43040797296084,40.0,60.0,0.0
옥포읍,대구광역시 달성군 옥포읍,100.0,0,35.76861362021735,128.4786185922975,52.0,48.0,0.0
현풍읍,대구광역시 달성군 현풍읍,100.0,0,35.68785635915192,128.42588487077737,100.0,0.0,0.0
유가읍,대구광역시 달성군 유가읍,100.0,0,35.68369138667956,128.48811016122306,100.0,0.0,0.0
구지면,대구광역시 달성군 구지면,100.0,0,35.657151877588056,128.40253955135734,100.0,0.0,0.0
안심3동,대구광역시 동구 안심3동,35.0,21921,35.86362667113727,128.73874651737995,36.0,-1.0,0.034482758620689655
혁신동,대구광역시 동구 혁신동,45.0,18673,35.8917294043715,128.73800195181406,34.0,11.0,0.0
